feature,direction,threshold,selected_events,selected_positive,selected_negative,win_rate_pct,average_profit_usd,total_profit_usd,median_profit_usd,best_profit_usd,worst_profit_usd,precision,recall,false_positive_rate,training_cycle_start,training_cycle_end
intelligence_score,HIGHER,75.65338421052631,85,0,85,0.0,-0.00238241176470588,-0.2025049999999998,-0.0020099999999999545,-0.0004340000000000437,-0.0073360000000000074,0.0,0.0,0.09486607142857142,1,9
volume_score,HIGHER,97.24684210526316,85,0,85,0.0,-0.00239645882352942,-0.2036990000000007,-0.002012000000000012,-0.0004340000000000437,-0.0073360000000000074,0.0,0.0,0.09486607142857142,1,9
minimum_component_score,HIGHER,71.40215789473685,77,0,77,0.0,-0.0027739740259740226,-0.21359599999999976,-0.0022309999999999813,-0.0004340000000000437,-0.0073360000000000074,0.0,0.0,0.0859375,1,9
composite_market_score,HIGHER,84.10706578947367,98,0,98,0.0,-0.0022182857142857165,-0.2173920000000002,-0.0019710000000000543,-0.0004340000000000437,-0.0073360000000000074,0.0,0.0,0.109375,1,9
intelligence_score,HIGHER,74.53074736842106,95,0,95,0.0,-0.002439210526315787,-0.2317249999999998,-0.0020139999999999585,-0.0004340000000000437,-0.0073360000000000074,0.0,0.0,0.10602678571428571,1,9
market_score,HIGHER,92.55684210526316,99,0,99,0.0,-0.0023806767676767693,-0.23568700000000015,-0.0019379999999999935,-0.0004340000000000437,-0.007114999999999981,0.0,0.0,0.11049107142857142,1,9
minimum_component_score,HIGHER,69.34631578947368,89,0,89,0.0,-0.002917898876404493,-0.2596929999999999,-0.0022379999999999605,-0.0004340000000000437,-0.008006999999999985,0.0,0.0,0.09933035714285714,1,9
intelligence_score,HIGHER,72.9417,106,0,106,0.0,-0.0025379905660377323,-0.2690269999999996,-0.002052500000000011,-0.0004340000000000437,-0.0073360000000000074,0.0,0.0,0.11830357142857142,1,9
liquidity_score,HIGHER,95.42684210526316,138,0,138,0.0,-0.002014326086956522,-0.27797700000000003,-0.0020019999999999465,-0.0004340000000000437,-0.002611999999999946,0.0,0.0,0.15401785714285715,1,9
maximum_component_score,HIGHER,97.87,123,0,123,0.0,-0.002300065040650413,-0.2829080000000008,-0.0020019999999999465,-0.0004340000000000437,-0.0073360000000000074,0.0,0.0,0.13727678571428573,1,9
minimum_component_score,HIGHER,64.89947368421053,98,0,98,0.0,-0.002980846938775509,-0.29212299999999986,-0.0022969999999999918,-0.0004340000000000437,-0.008006999999999985,0.0,0.0,0.109375,1,9
volume_score,HIGHER,95.45736842105262,135,0,135,0.0,-0.002273044444444454,-0.30686100000000127,-0.002013000000000041,-0.0004340000000000437,-0.0073360000000000074,0.0,0.0,0.15066964285714285,1,9
intelligence_score,HIGHER,71.76708947368421,116,0,116,0.0,-0.0026958448275862033,-0.3127179999999996,-0.0020944999999999974,-0.0004340000000000437,-0.0073360000000000074,0.0,0.0,0.12946428571428573,1,9
minimum_component_score,HIGHER,59.75421052631579,110,0,110,0.0,-0.0030154727272727272,-0.331702,-0.0022699999999999925,-0.0004340000000000437,-0.008472999999999951,0.0,0.0,0.12276785714285714,1,9
market_score,HIGHER,90.33315789473684,148,0,148,0.0,-0.0023160675675675743,-0.34277800000000097,-0.001976500000000046,-0.0004340000000000437,-0.007114999999999981,0.0,0.0,0.16517857142857142,1,9
composite_market_score,HIGHER,82.89349368421051,146,0,146,0.0,-0.0023541643835616466,-0.3437080000000004,-0.001987500000000029,-0.0004340000000000437,-0.0073360000000000074,0.0,0.0,0.16294642857142858,1,9
intelligence_score,HIGHER,70.60277368421053,127,0,127,0.0,-0.002880244094488186,-0.36579099999999964,-0.0021710000000000323,-0.0004340000000000437,-0.007916000000000032,0.0,0.0,0.14174107142857142,1,9
minimum_component_score,HIGHER,47.23736842105262,125,0,125,0.0,-0.0029877439999999983,-0.3734679999999998,-0.0021970000000000028,-0.0004340000000000437,-0.008472999999999951,0.0,0.0,0.13950892857142858,1,9
maximum_component_score,HIGHER,96.34,168,0,168,0.0,-0.002237410714285721,-0.3758850000000011,-0.0020209999999999933,-0.0004340000000000437,-0.0073360000000000074,0.0,0.0,0.1875,1,9
score_dispersion,LOWER,4.643839406729698,47,0,47,0.0,-0.008593021276595739,-0.40387199999999973,-0.003670999999999978,-0.0014259999999999256,-0.026703000000000032,0.0,0.0,0.052455357142857144,1,9
intelligence_score,HIGHER,70.02214210526316,137,0,137,0.0,-0.002956131386861313,-0.40498999999999985,-0.002175999999999954,-0.0004340000000000437,-0.008006999999999985,0.0,0.0,0.15290178571428573,1,9
